artikelnummer;name;kategorie;beschreibung;gebinde
EL3007;CIPOLON-Kantenschutz 7mm dick 30mm breit;Elastomerlager;Hochfestes PES-Gittergewebe beidseitig geschäumt;10m Rolle
EL5500;CALENBERG bi-TRAPEZLAGER 10mm;Elastomerlager;EPDM-Elastomerwerkstoff 67 Shore A 20cm breit;10m Rolle
385005;weber.tec 945 Injektionsharz EP 5kg;Injektionsharz;2-komp. Epoxidharzbasis für trockenen Baugrund;5kg Kombigebinde
386005;weber.tec 944 Injektionsharz PU 5kg;Injektionsharz;1-komp. Polyurethanharzbasis für feuchte Risse;5kg Eimer
DH100065;Ringraumdichtung HSD 100 SSG 18-65mm;Dichteinsatz;MPA geprüft gegen drückendes Wasser bis 1,5 bar;Stück
DH150110;Ringraumdichtung HSD 150 SSG;Dichteinsatz;MPA geprüft gegen drückendes Wasser bis 1,5 bar;Stück
DH200160;Ringraumdichtung HSD 200 SSG;Dichteinsatz;MPA geprüft gegen drückendes Wasser bis 1,5 bar;Stück
DK-KFKG100;KRASO-Flanschrohr Typ KG DN 110;Rohrdurchführung;Nachträglicher Einbau KG/HT Grundleitungen MPA bis 1,5 bar;Stück
DK-KFKG125;KRASO-Flanschrohr Typ KG DN 125;Rohrdurchführung;Nachträglicher Einbau KG/HT Grundleitungen MPA bis 1,5 bar;Stück
DK-KFKG150;KRASO-Flanschrohr Typ KG DN 160;Rohrdurchführung;Nachträglicher Einbau KG/HT Grundleitungen MPA bis 1,5 bar;Stück
DK-KFKG200;KRASO-Flanschrohr Typ KG DN 200;Rohrdurchführung;Nachträglicher Einbau KG/HT Grundleitungen MPA bis 1,5 bar;Stück
DHAT100590;HAUFF-Anschlusstrichter AT 110;Rohrdurchführung;Gas- und wasserdichte Anbindung an Bodenplatten DIN 18533;Stück
DH-3000;MSH PolySafe Wand BHP Mehrsparten;Hauseinführung;Für Kernbohrung 199-203mm max. Wandstärke 500mm;Stück
DH-3002;MSH Basic-FUBO-GK-SR4 3m ohne Keller;Hauseinführung;Mehrsparten-Bauherrenpaket für Gebäude ohne Keller;Stück
DH-4001;Hausausführung ETGAR Bauherrenpaket ohne Keller;Hauseinführung;Komplettset DIN 18533 W1.1-E WU-Beton;Stück
DH-4002;HAW-M ETGAR Bauherrenpaket mit Keller;Hauseinführung;Komplettset DIN 18533 W1.1-E W1.2-E W2.1-E;Stück
